Timestamp,अपना वार्ड नंबर दर्ज करें,क्या आपके वार्ड में DMC द्वारा घर-घर कचरा उठाने की सुविधा नियमित रूप से चल रही है?,क्या आप इस बारे में कोई और जानकारी देना चाहते हैं?,Ward Number,Collection Status
8/7/2026 11:59:53,36,"आता तो है, लेकिन अनियमित रूप से",Kachra Lene wala daily To Nahin Aata Hai jhadu Lagane wala Roj Aata Hai  Nalli saaf karne wala Mahina mein Ek Bar Aata ab Jab tab bhi usko Char bar bolane Jaenge tab aaega Aur vah Bhi Upar Upar Karega badhiya To Nahin Karega Hamari ward Parshad Koi kam karna,36,1
8/7/2026 13:51:13,24,बिल्कुल नहीं आता,जग जीवन नगर में मानस मंदिर कॉलोनियों का काफी बुरा हाल है जगह जगह कूड़ा कचरा का अंबार है जनता को परेशानी हो रही है नेता आते है सिर्फ वोट लेने उसके बाद तो कभी दिखाई नहीं देते,24,0
8/8/2026 4:50:09,23,"हाँ, नियमित रूप से आता है",2-3 दिन करके आता है,23,2
8/8/2026 5:59:02,9,"हाँ, नियमित रूप से आता है",,9,2
9/2/2026 12:44:14,20,"हाँ, नियमित रूप से आता है",कचरे की गाड़ी बिल्कुल ओपन होता है गंदगी इधर-उधर गिरती है और बदबू भी फैलता है गाड़ियां ढकी होनी चाहिए।,20,2
9/2/2026 12:47:06,20,एक दिन बीच कर आता है,कचरा प्रति दिन उठाना चाहिए ,20,2
9/2/2026 22:25:51,17,बिल्कुल नहीं आता,घर से कचरा उठाना तो दूर घर के बाहर का कचरा नहीं उठता समय से,17,0
9/3/2026 0:48:14,2,"आता तो है, लेकिन अनियमित रूप से",,2,1
9/3/2026 8:02:14,21,"हाँ, नियमित रूप से आता है",,21,2
9/5/2026 1:16:19,31,"हाँ, नियमित रूप से आता है",,31,2
9/5/2026 3:51:49,33,"हाँ, नियमित रूप से आता है",,33,2
9/6/2026 9:07:54,18,बिल्कुल नहीं आता,,18,0
9/6/2026 13:06:52,20,"हाँ, नियमित रूप से आता है",No,20,2
9/6/2026 13:49:58,21,"हाँ, नियमित रूप से आता है",No,21,2
9/6/2026 14:07:49,55,"हाँ, नियमित रूप से आता है",2 din chhod ke aata hai,55,2
9/6/2026 14:37:21,30,"आता तो है, लेकिन अनियमित रूप से","Nagar nigam waste collection ke liye recently tax lena start ki hai mere area me kuch log tax ka receipt bhi de ker gye the, ye bhi reason hai jis karan log nagar nigam pe se trust nhi hai, log idhar udhar kachra fek dete hai kue ki unhe lagta hai paise dene honge agar kachra diya toh, and our country is not a capitalist country so I request to please re-evaluate that people of dhanbad are really in such a situation that we can give waste tax ?... ",30,1
9/6/2026 22:02:43,23,"आता तो है, लेकिन अनियमित रूप से","Gugulia basti near ALC Office dumps garbage at road which is not cleaned by DMC staff. Huge pile of waste. Location: Near Labour Court & Shiv Mandir, Murli Nagar, Saraidhela, Dhanbad.",23,1
9/6/2026 22:12:22,29,"हाँ, नियमित रूप से आता है","They come usually in a gap of one day in my area collects garbage. However, they didn't go the last house which is not good they collect the garbage from about 80% of the houses in my area. Since the houses which lies in 20% didn't have enough space outside to move the vehicle of dmc garbage collection and then they can't take reversal easily this might be the reason but I don't know exactly why they don't collect the garbage from th 20% of the houses of my area",29,2
9/6/2026 23:05:39,18,"आता तो है, लेकिन अनियमित रूप से",N/A,18,1
9/7/2026 12:08:18,22,"आता तो है, लेकिन अनियमित रूप से",Kachra lene to aate h gaadi but log bahar hi fekte h kuda awareness ke jarurat h ,22,1
